iter	Passed	Remaining
0	74	37338
1	81	20357
2	88	14612
3	95	11800
4	101	10041
5	108	8907
6	115	8117
7	122	7504
8	128	7034
9	135	6652
10	142	6352
11	149	6082
12	156	5868
13	163	5679
14	170	5511
15	180	5454
16	187	5315
17	194	5197
18	200	5081
19	214	5148
20	221	5063
21	229	4976
22	235	4888
23	242	4808
24	249	4731
25	255	4666
26	262	4603
27	269	4537
28	278	4521
29	290	4548
30	300	4543
31	308	4505
32	314	4455
33	321	4409
34	328	4364
35	335	4320
36	341	4273
37	348	4232
38	354	4193
39	361	4158
40	368	4125
41	375	4090
42	381	4056
43	388	4022
44	395	3995
45	402	3972
46	409	3943
47	415	3914
48	422	3887
49	428	3860
50	436	3839
51	443	3818
52	449	3793
53	456	3772
54	463	3747
55	471	3740
56	478	3719
57	485	3698
58	492	3678
59	498	3656
60	505	3636
61	516	3645
62	522	3625
63	529	3610
64	536	3588
65	543	3573
66	550	3555
67	558	3546
68	565	3529
69	574	3531
70	584	3534
71	596	3546
72	603	3530
73	610	3513
74	617	3496
75	623	3479
76	629	3460
77	636	3442
78	642	3426
79	649	3411
80	656	3396
81	663	3384
82	670	3369
83	677	3355
84	684	3340
85	690	3325
86	697	3313
87	704	3299
88	711	3286
89	718	3272
90	724	3257
91	731	3244
92	738	3231
93	745	3219
94	752	3206
95	759	3194
96	765	3180
97	772	3168
98	778	3154
99	785	3142
100	792	3129
101	799	3117
102	805	3106
103	812	3093
104	818	3080
105	825	3069
106	832	3058
107	839	3047
108	846	3035
109	852	3024
110	859	3013
111	866	3001
112	872	2989
113	879	2978
114	886	2967
115	892	2955
116	899	2944
117	906	2933
118	912	2922
119	919	2911
120	926	2900
121	932	2890
122	939	2879
123	946	2869
124	953	2860
125	960	2849
126	966	2839
127	974	2832
128	981	2822
129	988	2813
130	998	2811
131	1006	2806
132	1016	2805
133	1024	2798
134	1031	2788
135	1038	2778
136	1045	2770
137	1052	2761
138	1059	2752
139	1066	2742
140	1073	2732
141	1080	2723
142	1086	2712
143	1093	2703
144	1100	2694
145	1107	2684
146	1114	2675
147	1121	2666
148	1127	2657
149	1135	2648
150	1142	2640
151	1149	2631
152	1156	2622
153	1163	2613
154	1170	2605
155	1176	2595
156	1183	2586
157	1190	2577
158	1198	2570
159	1205	2561
160	1212	2551
161	1218	2542
162	1225	2533
163	1232	2524
164	1239	2515
165	1246	2507
166	1254	2500
167	1261	2492
168	1268	2483
169	1274	2474
170	1281	2466
171	1288	2457
172	1296	2449
173	1303	2442
174	1310	2434
175	1317	2424
176	1323	2415
177	1330	2407
178	1337	2398
179	1344	2390
180	1351	2381
181	1358	2374
182	1365	2366
183	1373	2358
184	1380	2350
185	1387	2341
186	1393	2332
187	1400	2324
188	1407	2315
189	1413	2306
190	1420	2298
191	1427	2289
192	1433	2280
193	1440	2272
194	1447	2263
195	1453	2254
196	1460	2246
197	1467	2238
198	1474	2230
199	1481	2222
200	1488	2213
201	1495	2205
202	1501	2197
203	1508	2189
204	1515	2180
205	1522	2172
206	1528	2163
207	1536	2156
208	1543	2148
209	1550	2140
210	1556	2132
211	1563	2124
212	1570	2115
213	1577	2107
214	1583	2099
215	1590	2091
216	1597	2083
217	1604	2074
218	1610	2066
219	1617	2058
220	1624	2050
221	1631	2042
222	1637	2034
223	1644	2026
224	1651	2018
225	1658	2010
226	1664	2002
227	1671	1994
228	1678	1986
229	1684	1977
230	1695	1973
231	1704	1969
232	1714	1964
233	1721	1956
234	1728	1948
235	1735	1941
236	1742	1933
237	1749	1925
238	1756	1918
239	1763	1910
240	1770	1902
241	1777	1894
242	1784	1887
243	1791	1879
244	1798	1871
245	1805	1864
246	1812	1856
247	1819	1848
248	1825	1840
249	1832	1832
250	1839	1824
251	1846	1816
252	1853	1809
253	1860	1801
254	1867	1794
255	1874	1786
256	1880	1778
257	1887	1770
258	1895	1763
259	1902	1755
260	1908	1747
261	1915	1740
262	1922	1732
263	1929	1724
264	1935	1716
265	1943	1709
266	1950	1702
267	1956	1694
268	1966	1688
269	1973	1681
270	1980	1673
271	1989	1667
272	1996	1659
273	2002	1651
274	2009	1644
275	2016	1636
276	2023	1628
277	2030	1621
278	2037	1614
279	2044	1606
280	2051	1598
281	2058	1591
282	2064	1583
283	2071	1575
284	2078	1567
285	2086	1560
286	2093	1553
287	2101	1546
288	2109	1539
289	2118	1533
290	2126	1527
291	2134	1520
292	2142	1513
293	2150	1506
294	2159	1500
295	2166	1493
296	2174	1486
297	2182	1479
298	2190	1472
299	2197	1465
300	2205	1458
301	2213	1451
302	2220	1443
303	2228	1436
304	2235	1429
305	2243	1422
306	2251	1415
307	2258	1408
308	2266	1400
309	2273	1393
310	2281	1386
311	2289	1379
312	2297	1372
313	2305	1365
314	2312	1358
315	2319	1350
316	2326	1343
317	2334	1335
318	2341	1328
319	2349	1321
320	2357	1314
321	2365	1307
322	2371	1299
323	2378	1292
324	2385	1284
325	2393	1277
326	2400	1269
327	2407	1262
328	2417	1256
329	2425	1249
330	2435	1243
331	2442	1235
332	2449	1228
333	2456	1220
334	2463	1213
335	2470	1205
336	2476	1197
337	2483	1190
338	2490	1182
339	2497	1175
340	2504	1167
341	2511	1160
342	2519	1153
343	2526	1145
344	2533	1138
345	2540	1130
346	2547	1123
347	2554	1115
348	2562	1108
349	2569	1101
350	2575	1093
351	2584	1086
352	2591	1079
353	2600	1072
354	2607	1064
355	2616	1058
356	2623	1051
357	2631	1043
358	2638	1036
359	2645	1028
360	2653	1021
361	2660	1014
362	2668	1006
363	2675	999
364	2683	992
365	2692	985
366	2699	978
367	2706	970
368	2715	963
369	2721	956
370	2731	949
371	2737	942
372	2746	935
373	2754	927
374	2761	920
375	2769	913
376	2776	905
377	2785	898
378	2791	891
379	2799	884
380	2808	877
381	2816	870
382	2824	862
383	2832	855
384	2839	848
385	2846	840
386	2853	833
387	2860	825
388	2868	818
389	2875	811
390	2882	803
391	2889	796
392	2896	788
393	2903	781
394	2910	773
395	2917	766
396	2924	758
397	2931	751
398	2938	743
399	2945	736
400	2952	728
401	2959	721
402	2965	713
403	2972	706
404	2979	698
405	2987	691
406	2993	684
407	3000	676
408	3007	669
409	3013	661
410	3020	654
411	3027	646
412	3034	639
413	3041	631
414	3048	624
415	3054	616
416	3061	609
417	3068	601
418	3075	594
419	3082	587
420	3088	579
421	3095	572
422	3102	564
423	3109	557
424	3115	549
425	3122	542
426	3129	535
427	3136	527
428	3143	520
429	3151	512
430	3158	505
431	3166	498
432	3177	491
433	3185	484
434	3194	477
435	3201	469
436	3207	462
437	3215	455
438	3222	447
439	3228	440
440	3235	432
441	3242	425
442	3249	418
443	3258	411
444	3269	404
445	3279	397
446	3288	389
447	3297	382
448	3307	375
449	3317	368
450	3326	361
451	3340	354
452	3348	347
453	3355	339
454	3362	332
455	3369	325
456	3376	317
457	3383	310
458	3390	302
459	3397	295
460	3404	287
461	3410	280
462	3417	273
463	3423	265
464	3430	258
465	3437	250
466	3444	243
467	3450	235
468	3458	228
469	3465	221
470	3473	213
471	3479	206
472	3486	199
473	3493	191
474	3499	184
475	3506	176
476	3514	169
477	3521	162
478	3528	154
479	3534	147
480	3541	139
481	3548	132
482	3555	125
483	3562	117
484	3568	110
485	3575	103
486	3582	95
487	3589	88
488	3596	80
489	3603	73
490	3610	66
491	3616	58
492	3623	51
493	3631	44
494	3638	36
495	3644	29
496	3651	22
497	3658	14
498	3666	7
499	3672	0
